Faculty,Speciality,score_2020,score_2019,score_2018
ВПІ,023,181.533,189.0,176.950
ВПІ,061,188.675,191.025,193.125
ВПІ,073,177.350,177.2,183.45
ВПІ,133,138.414,130.458,125.350
ВПІ,186,156.264,165.189,168.647
ІМЗ,131,112.95,128.750,126.48
ІМЗ,132,123.879,128.418,127.9
ІМЗ,136,108.732,125.35,127.296
ІХФ,101,160.446,157.8,162.488
ІХФ,131,149.073,155.754,149.736
ІХФ,133,118.4,136.66,132.192
ІХФ,151,146.625,155.703,157.488
ІХФ,161,137.85,151.45,136.527
ІЕЕ,141,111.3,131.172,125.46
ІЕЕ,144,140.3,133.15,129.336
ІЕЕ,184,154.25,145.65,146.319
ІПСА,122,188.1,187.55,190.740
ІПСА,124,182.172,180.234,183.855
ІТС,172,131.274,144.1,143.04
ММІ,131,108.25,135.5,131.828
ІАТ,134,138.057,164.424,167.637
ІАТ,173,141.78,150.96,146.05
ПБФ,151,160.548,158.814,158.65
ПБФ,152,130.5,133.05,135.15
РТФ,172,132.396,143.922,142.131
ТЕФ,121,183.65,184.75,186.75
ТЕФ,122,175.8,177.75,180.5
ТЕФ,142,136.017,135.5,126.735
ТЕФ,143,119.9,131.478,125.65
ТЕФ,144,125.25,131.58,125.97
ТЕФ,151,168.351,166.872,168.468
ФБМІ,122,174.8,172.9,176.75
ФБМІ,163,174.165,185.64,183.335
ФБМІ,227,155.9,167.35,170.15
ФБТ,133,141.45,126.830,127.143
ФБТ,162,178.449,179.418,184.65
ФЕА,141,122.808,140.913,133.875
ФЕЛ,153,135.354,140.607,141.219
ФЕЛ,171,130.7,143.889,142.5
ФЕЛ,172,139.944,146.584,141.739
ФІОТ,121,190.4,190.85,192.78
ФІОТ,123,181.45,181.9,182.75
ФІОТ,126,180.9,181.3,186.0
ФЛ(Англ.),035,187.75,189.0,190.45
ФЛ(Нем.),035,187.05,188.9,190.3
ФЛ(Франц.),035,185.35,188.3,186.425
ФММ,051,181.45,183.65,186.85
ФММ,073,178.35,181.2,184.1
ФММ,075,183.55,184.365,189.7
ФПМ,113,181.55,179.450,184.5
ФПМ,121,189.05,189.2,190.0
ФПМ,123,179.05,179.250,180.750
ФСП,054,173.9,177.95,180.5
ФСП,081,186.55,186.4,186.95
ФСП,231,174.75,173.8,179.65
ФСП,281,182.6,183.85,187.3
ФМФ,104,127.194,134.946,142.698
ФМФ,111,160.14,149.889,164.95
ФТІ,105,150.909,144.6,132.702
ФТІ,113,177.75,177.05,178.25
ФТІ,125,184.1,183.8,185.0
ХТФ,161,137.394,149.9,141.27
